site,lon,lat,lon_model,lat_model,mean_ssh_obs,mean_ssh_model,mean_ssh_offset,median_ssh_obs,median_ssh_model,median_ssh_offset
8467150,-73.1817,41.1733,-73.16000366210938,41.130714416503906,0.13431208333333333,-0.49268788798987245,0.6269999713232057,0.1185,-0.5440375208854675,0.6625375208854676
8516945,-73.765,40.8103,-73.72000122070312,40.889244079589844,0.1015525,-0.49674487921742266,0.5982973792174227,0.084,-0.5197105407714844,0.6037105407714843
8518750,-74.0142,40.7006,-74.04000091552734,40.58616256713867,0.18971291666666665,-0.5082619120515783,0.697974828718245,0.2005,-0.5420483350753784,0.7425483350753784
8531680,-74.0094,40.4669,-74.04000091552734,40.49496841430664,0.1763327083333333,-0.511831280582348,0.6881639889156812,0.179,-0.5364429354667664,0.7154429354667664
8534720,-74.4183,39.355,-74.4000015258789,39.329132080078125,0.07111416666666667,-0.5473141574139171,0.6184283240805838,0.074,-0.5433143973350525,0.6173143973350524
8536110,-74.96,38.9683,-74.95999908447266,38.95685577392578,0.049515624999999994,-0.5554348949431634,0.6049505199431634,0.037,-0.5341418385505676,0.5711418385505677
8557380,-75.12,38.7817,-75.12000274658203,38.83232879638672,0.07705479166666666,-0.565168650121153,0.6422234417878196,0.069,-0.5288729071617126,0.5978729071617126
8570283,-75.0917,38.3283,-75.08000183105469,38.30065155029297,0.058419583333333344,-0.5430587740672916,0.6014783574006249,0.067,-0.5510032773017883,0.6180032773017883
8637689,-76.4788,37.2265,-76.36000061035156,37.22554016113281,0.1507966666666667,-0.5131668847614002,0.6639635514280668,0.127,-0.5364514589309692,0.6634514589309692
8652587,-75.5481,35.795,-75.55999755859375,35.74625778198242,0.19721208333333332,-0.2825190054754596,0.4797310888087929,0.166,-0.42337626218795776,0.5893762621879578
8654467,-75.7042,35.2086,-75.68000030517578,35.19245147705078,0.16773562500000003,-0.4411880333103098,0.6089236583103098,0.18,-0.4211067259311676,0.6011067259311675
